#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号
カムラノ装【手甲】覇,0,4,2,0,0,,30,50,2,0,0,0,0,見切り,2,火事場力,1,,,,,,,,,,,,,,,,,,,,,10
レザーＳグラブ,0,4,1,1,0,,30,50,0,0,0,0,0,地質学,1,特殊射撃強化,1,,,,,,,,,,,,,,,,,,,,,20
チェーンＳグラブ,0,4,1,1,0,,32,52,0,0,1,0,0,植生学,1,防御,2,,,,,,,,,,,,,,,,,,,,,30
ハンターＳグラブ,0,4,2,0,0,,32,52,0,0,0,0,0,納刀術,1,,,,,,,,,,,,,,,,,,,,,,,40
アロイＳアーム,0,4,1,0,0,,32,52,-1,0,-1,-1,0,水属性攻撃強化,1,見切り,2,,,,,,,,,,,,,,,,,,,,,50
ボーンＳアーム,0,4,1,1,0,,32,52,0,0,0,-1,0,泥雪耐性,1,スタミナ奪取,1,,,,,,,,,,,,,,,,,,,,,60
スカルダＳマーノ,1,4,1,1,0,,32,52,3,-1,-1,-1,3,力の解放,1,毒耐性,1,,,,,,,,,,,,,,,,,,,,,70
スパイオＳマーノ,2,4,1,1,0,,32,52,3,-1,-1,-1,3,力の解放,1,毒耐性,1,,,,,,,,,,,,,,,,,,,,,80
ブナハＳグローブ,0,4,1,0,0,,34,54,-2,0,0,0,2,毒属性強化,2,回避性能,1,,,,,,,,,,,,,,,,,,,,,90
イズチＳアーム,0,4,1,1,0,,36,56,2,-1,-2,0,0,体術,2,,,,,,,,,,,,,,,,,,,,,,,100
バギィＳアーム,0,4,1,1,0,,36,56,-4,-1,-1,2,1,睡眠耐性,2,氷属性攻撃強化,1,,,,,,,,,,,,,,,,,,,,,110
クルルＳアーム,0,4,2,0,0,,38,58,0,-3,0,1,0,ＫＯ術,1,スタミナ奪取,2,,,,,,,,,,,,,,,,,,,,,120
フロギィＳアーム,0,4,3,0,0,,38,58,2,-2,1,-4,0,装填拡張,1,,,,,,,,,,,,,,,,,,,,,,,130
アシラＳアーム,0,4,1,0,0,,36,56,-2,0,-2,0,0,逆襲,1,防御,2,,,,,,,,,,,,,,,,,,,,,140
ウルクＳアーム,0,4,2,1,0,,36,56,-3,1,0,3,0,見切り,2,氷属性攻撃強化,1,,,,,,,,,,,,,,,,,,,,,150
アケノＳアーム,0,4,1,1,0,,38,58,3,-3,-1,0,0,フルチャージ,1,火属性攻撃強化,1,,,,,,,,,,,,,,,,,,,,,160
フルフルＳアーム,0,4,1,1,0,,38,58,-4,1,4,2,1,壁面移動,1,回復速度,1,雷属性攻撃強化,2,,,,,,,,,,,,,,,,,,,170
ヨツミＳアーム,0,4,1,1,0,,40,60,-1,4,-2,1,0,火事場力,1,特殊射撃強化,1,,,,,,,,,,,,,,,,,,,,,180
インゴットＳアーム,0,4,1,0,0,,40,58,-1,-1,1,0,0,雷属性攻撃強化,3,,,,,,,,,,,,,,,,,,,,,,,190
エーデルＳラーマ,0,4,0,0,0,,40,58,-1,3,-1,0,0,捕獲名人,1,,,,,,,,,,,,,,,,,,,,,,,200
リノプロＳアーム,0,4,2,1,0,,42,60,2,0,0,-2,0,砲術,2,,,,,,,,,,,,,,,,,,,,,,,210
狗竜の革籠手Ｓ,0,4,1,1,0,,42,60,0,0,0,1,0,攻撃,2,,,,,,,,,,,,,,,,,,,,,,,220
ラングロＳアーム,0,4,1,1,1,,50,68,2,-3,0,-1,1,回避距離ＵＰ,1,麻痺属性強化,1,,,,,,,,,,,,,,,,,,,,,230
ルドロスＳアーム,0,4,2,1,1,,48,66,-3,4,-1,0,0,ランナー,1,,,,,,,,,,,,,,,,,,,,,,,240
ボロスＳアーム,0,4,1,1,0,,50,68,-3,-1,3,-1,0,攻撃,2,滑走強化,1,,,,,,,,,,,,,,,,,,,,,250
