#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号
カムラノ装【上衣】覇,0,4,1,0,0,,30,50,2,0,0,0,0,翔蟲使い,2,壁面移動,1,見切り,1,,,,,,,,,,,,,,,,,,,10
レザーＳベスト,0,4,2,0,0,,30,50,0,0,0,0,0,植生学,1,,,,,,,,,,,,,,,,,,,,,,,20
チェーンＳベスト,0,4,1,0,0,,32,52,0,0,1,0,0,防御,1,ひるみ軽減,2,,,,,,,,,,,,,,,,,,,,,30
ハンターＳメイル,0,4,1,0,0,,32,52,0,0,0,0,0,攻撃,1,匠,1,,,,,,,,,,,,,,,,,,,,,40
アロイＳメイル,0,4,2,0,0,,32,52,-1,0,-1,-1,0,砥石使用高速化,1,,,,,,,,,,,,,,,,,,,,,,,50
ボーンＳメイル,0,4,1,0,0,,32,52,0,0,0,-1,0,スタミナ奪取,1,ランナー,1,,,,,,,,,,,,,,,,,,,,,60
スカルダＳペット,1,4,2,0,0,,32,52,3,-1,-1,-1,3,力の解放,1,,,,,,,,,,,,,,,,,,,,,,,70
スパイオＳペット,2,4,2,0,0,,32,52,3,-1,-1,-1,3,力の解放,1,,,,,,,,,,,,,,,,,,,,,,,80
ブナハＳスーツ,0,4,1,1,0,,34,54,-2,0,0,0,2,麻痺属性強化,1,回避性能,1,,,,,,,,,,,,,,,,,,,,,90
イズチＳメイル,0,4,1,0,0,,36,56,2,-1,-2,0,0,見切り,2,回復速度,1,,,,,,,,,,,,,,,,,,,,,100
バギィＳメイル,0,4,1,0,0,,36,56,-4,-1,-1,2,1,攻撃,1,氷属性攻撃強化,1,,,,,,,,,,,,,,,,,,,,,110
クルルＳメイル,0,4,2,0,0,,38,58,0,-3,0,1,0,ＫＯ術,2,笛吹き名人,1,,,,,,,,,,,,,,,,,,,,,120
フロギィＳメイル,0,4,1,0,0,,38,58,2,-2,1,-4,0,速射強化,1,毒属性強化,1,,,,,,,,,,,,,,,,,,,,,130
アシラＳメイル,0,4,2,0,0,,36,56,-2,0,-2,0,0,逆襲,1,,,,,,,,,,,,,,,,,,,,,,,140
ウルクＳメイル,0,4,1,1,0,,36,56,-3,1,0,3,0,滑走強化,1,体術,1,,,,,,,,,,,,,,,,,,,,,150
アケノＳメイル,0,4,1,0,0,,38,58,3,-3,-1,0,0,納刀術,1,フルチャージ,1,,,,,,,,,,,,,,,,,,,,,160
フルフルＳメイル,0,4,1,1,0,,38,58,-4,1,4,2,1,壁面移動,1,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,,,,,,170
ヨツミＳメイル,0,4,1,0,0,,40,60,-1,4,-2,1,0,通常弾・連射矢強化,1,回避距離ＵＰ,1,,,,,,,,,,,,,,,,,,,,,180
インゴットＳメイル,0,4,2,1,0,,40,58,-1,-1,1,0,0,風圧耐性,2,,,,,,,,,,,,,,,,,,,,,,,190
混沌のカイ・覇,0,4,0,0,0,,40,58,2,-2,0,0,0,キノコ大好き,2,,,,,,,,,,,,,,,,,,,,,,,200
エーデルＳトロンコ,0,4,1,1,0,,40,58,-1,3,-1,0,0,体力回復量ＵＰ,2,,,,,,,,,,,,,,,,,,,,,,,210
ズワロＳマント,0,4,2,1,0,,42,60,-2,2,0,-1,1,満足感,2,,,,,,,,,,,,,,,,,,,,,,,220
リノプロＳメイル,0,4,2,1,0,,42,60,2,0,0,-2,0,砲術,1,気絶耐性,2,,,,,,,,,,,,,,,,,,,,,230
ドロスＳメイル,0,4,2,1,0,,42,60,-2,4,-1,0,0,水属性攻撃強化,2,,,,,,,,,,,,,,,,,,,,,,,240
ラングロＳメイル,0,4,2,0,0,,50,68,2,-3,0,-1,1,高速変形,1,ジャンプ鉄人,1,,,,,,,,,,,,,,,,,,,,,250
