#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号
カムラノ装【頭巾】覇,0,4,1,0,0,,30,50,2,0,0,0,0,精霊の加護,1,死中に活,1,,,,,,,カブレライト鉱石,2,紅蓮石,1,,,,,,,,,,,10
レザーＳヘッド,0,4,1,1,0,,30,50,0,0,0,0,0,地質学,1,腹減り耐性,1,,,,,,,上質な毛皮,1,ドラグライト鉱石,3,,,,,,,,,,,20
チェーンＳヘッド,0,4,2,0,0,,32,52,0,0,1,0,0,植生学,1,防御,1,,,,,,,,,,,,,,,,,,,,,30
ハンターＳヘルム,0,4,2,0,0,,32,52,0,0,0,0,0,アイテム使用強化,1,,,,,,,,,,,,,,,,,,,,,,,40
アロイＳヘルム,0,4,1,0,0,,32,52,-1,0,-1,-1,0,水属性攻撃強化,1,剛刃研磨,1,,,,,,,,,,,,,,,,,,,,,50
ボーンＳヘルム,0,4,1,0,0,,32,52,0,0,0,-1,0,スタミナ奪取,1,破壊王,1,,,,,,,,,,,,,,,,,,,,,60
スカルダＳテスタ,1,4,2,0,0,,32,52,3,-1,-1,-1,3,毒属性強化,2,,,,,,,,,,,,,,,,,,,,,,,70
スパイオＳテスタ,2,4,2,0,0,,32,52,3,-1,-1,-1,3,毒属性強化,2,,,,,,,,,,,,,,,,,,,,,,,80
ブナハＳハット,0,4,2,0,0,,34,54,-2,0,0,0,2,毒属性強化,1,反動軽減,2,,,,,,,,,,,,,,,,,,,,,90
イズチＳヘルム,0,4,1,1,0,,36,56,2,-1,-2,0,0,見切り,1,,,,,,,,,,,,,,,,,,,,,,,100
バギィＳヘルム,0,4,2,1,0,,36,56,-4,-1,-1,2,1,氷属性攻撃強化,2,,,,,,,,,,,,,,,,,,,,,,,110
クルルＳヘルム,0,4,1,1,0,,38,58,0,-3,0,1,0,渾身,1,,,,,,,,,,,,,,,,,,,,,,,120
フロギィＳヘルム,0,4,1,0,0,,38,58,2,-2,1,-4,0,速射強化,1,回避距離ＵＰ,1,,,,,,,,,,,,,,,,,,,,,130
アシラＳヘルム,0,4,1,1,0,,36,56,-2,0,-2,0,0,不屈,1,防御,1,,,,,,,,,,,,,,,,,,,,,140
ウルクＳヘルム,0,4,3,0,0,,36,56,-3,1,0,3,0,見切り,1,氷属性攻撃強化,2,,,,,,,,,,,,,,,,,,,,,150
アケノＳヘルム,0,4,2,0,0,,38,58,3,-3,-1,0,0,納刀術,1,火属性攻撃強化,1,,,,,,,,,,,,,,,,,,,,,160
フルフルＳヘルム,0,4,1,0,0,,38,58,-4,1,4,2,1,集中,1,体力回復量ＵＰ,1,,,,,,,,,,,,,,,,,,,,,170
ヨツミＳヘルム,0,4,1,0,0,,40,60,-1,4,-2,1,0,通常弾・連射矢強化,1,早食い,1,,,,,,,,,,,,,,,,,,,,,180
インゴットＳヘルム,0,4,3,1,0,,40,58,-1,-1,1,0,0,風圧耐性,1,,,,,,,,,,,,,,,,,,,,,,,190
混沌のパオ・覇,0,4,1,1,0,,40,58,2,-2,0,0,0,キノコ大好き,1,,,,,,,,,,,,,,,,,,,,,,,200
エーデルＳフロール,0,4,2,2,0,,40,58,-1,3,-1,0,0,毒耐性,2,,,,,,,,,,,,,,,,,,,,,,,210
ズワロＳフード,0,4,3,0,0,,42,60,-2,2,0,-1,1,満足感,1,陽動,1,,,,,,,,,,,,,,,,,,,,,220
リノプロＳヘルム,0,4,1,0,0,,42,60,2,0,0,-2,0,貫通弾・貫通矢強化,2,気絶耐性,1,,,,,,,,,,,,,,,,,,,,,230
ファンゴＳフェイク,0,4,1,0,0,,36,54,0,4,-2,0,0,鈍器使い,2,,,,,,,,,,,,,,,,,,,,,,,240
ジャギィＳフェイク,0,4,2,0,0,,36,54,0,0,0,0,0,滑走強化,1,,,,,,,,,,,,,,,,,,,,,,,250
ラングロＳヘルム,0,4,1,1,0,5,50,68,2,-3,0,-1,1,麻痺属性強化,2,鈍器使い,1,,,,,,,,,,,,,,,,,,,,,260
ルドロスＳヘルム,0,4,1,1,0,5,48,66,-3,4,-1,0,0,ランナー,1,フルチャージ,1,,,,,,,,,,,,,,,,,,,,,270
ボロスＳヘルム,0,4,2,1,0,5,50,68,-3,-1,3,-1,0,攻撃,1,防御,1,攻めの守勢,1,,,,,,,,,,,,,,,,,,,280
テンゴＳヘルム,0,5,1,0,0,5,52,70,-2,2,2,-4,2,アイテム使用強化,1,広域化,1,気絶耐性,1,,,,,,,,,,,,,,,,,,,290
プケプケＳヘルム,0,5,2,0,0,5,50,68,0,3,-3,0,1,特殊射撃強化,1,弾丸節約,1,,,,,,,,,,,,,,,,,,,,,300
ジュラヘルム,0,5,2,1,0,5,48,66,-1,2,-3,0,0,攻めの守勢,1,回避距離ＵＰ,1,,,,,,,,,,,,,,,,,,,,,310
バサルＳヘルム,0,5,2,1,0,5,52,70,0,-2,1,1,-3,砲弾装填,1,防御,2,,,,,,,,,,,,,,,,,,,,,320
レイアＳヘルム,0,5,2,1,0,5,52,70,3,0,-2,0,-3,属性やられ耐性,1,,,,,,,,,,,,,,,,,,,,,,,330
スカルＳヘッド,0,5,3,2,0,,50,58,-3,-3,-3,-3,4,不屈,1,,,,,,,,,,,,,,,,,,,,,,,340
ドーベルヘルム,0,5,1,1,0,,52,60,-2,0,0,0,4,龍属性攻撃強化,1,攻撃,1,火事場力,1,,,,,,,,,,,,,,,,,,,350
アルブーロＳヘッド,0,5,2,1,0,,52,60,0,-2,1,-1,0,弾導強化,2,,,,,,,,,,,,,,,,,,,,,,,360
メルホアＳフロール,0,5,2,2,0,,52,60,0,1,3,0,0,麻痺耐性,2,,,,,,,,,,,,,,,,,,,,,,,370
デスギアＳゲヒル,0,5,2,0,0,,52,60,3,1,1,-1,0,剛刃研磨,1,,,,,,,,,,,,,,,,,,,,,,,380
マギュルＳフロール,0,5,2,2,0,,52,60,-3,1,0,3,0,爆破やられ耐性,2,,,,,,,,,,,,,,,,,,,,,,,390
ヴァイクＳヘルム,0,5,2,1,0,,52,60,0,3,-2,-1,0,装填拡張,2,,,,,,,,,,,,,,,,,,,,,,,400
マカルパＳフード,0,5,2,2,0,,52,60,1,2,-2,0,0,睡眠耐性,2,,,,,,,,,,,,,,,,,,,,,,,410
ウツシ表【覆面】覇,1,5,1,0,0,,52,60,3,0,0,0,0,早食い,1,満足感,1,幸運,1,,,,,,,,,,,,,,,,,,,420
ウツシ裏【御面】覇,1,5,1,0,0,,52,60,3,0,0,0,0,業物,2,弾丸節約,2,翔蟲使い,1,,,,,,,,,,,,,,,,,,,430
依巫・祈【元結】,2,5,1,0,0,,52,60,3,0,0,0,0,早食い,1,満足感,1,幸運,1,,,,,,,,,,,,,,,,,,,440
神凪・願【元結】,2,5,1,0,0,,52,60,3,0,0,0,0,業物,2,弾丸節約,2,翔蟲使い,1,,,,,,,,,,,,,,,,,,,450
ガブラスＳヘッド,0,5,2,0,0,,52,60,1,1,1,1,3,風圧耐性,2,,,,,,,,,,,,,,,,,,,,,,,460
イソネＳヘルム,0,5,2,1,0,6,58,66,-1,2,-3,0,1,睡眠属性強化,1,,,,,,,,,,,,,,,,,,,,,,,470
ベリオＳヘルム,0,5,1,0,0,6,58,66,-3,0,-1,3,0,抜刀術【技】,2,,,,,,,,,,,,,,,,,,,,,,,480
カガチＳヘルム,0,5,1,1,0,6,58,66,0,-3,3,0,0,ジャンプ鉄人,1,体術,1,見切り,1,,,,,,,,,,,,,,,,,,,490
ジャナフＳヘルム,0,6,2,0,0,6,60,80,3,-3,-1,-1,0,集中,1,ＫＯ術,1,,,,,,,,,,,,,,,,,,,,,500
ナルガＳヘルム,0,6,3,0,0,6,60,80,-2,1,-3,1,1,回避性能,1,,,,,,,,,,,,,,,,,,,,,,,510
ミツネＳヘルム,0,6,2,1,0,6,60,80,0,2,-3,1,-1,死中に活,1,,,,,,,,,,,,,,,,,,,,,,,520
レウスＳヘルム,0,6,1,1,0,6,62,82,3,1,-2,1,-3,攻撃,1,破壊王,1,,,,,,,,,,,,,,,,,,,,,530
ジンオウＳヘルム,0,6,1,0,0,6,62,82,0,-1,4,-4,1,力の解放,1,弱点特効,1,,,,,,,,,,,,,,,,,,,,,540
