#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号
カムラノ装【脚絆】覇,0,4,1,0,0,,30,50,2,0,0,0,0,壁面移動,2,死中に活,1,,,,,,,,,,,,,,,,,,,,,
レザーＳパンツ,0,4,2,0,0,,30,50,0,0,0,0,0,地質学,1,,,,,,,,,,,,,,,,,,,,,,,
チェーンＳパンツ,0,4,1,1,0,,32,52,0,0,1,0,0,植生学,1,スタミナ急速回復,1,,,,,,,,,,,,,,,,,,,,,
ハンターＳグリーヴ,0,4,2,0,0,,32,52,0,0,0,0,0,気絶耐性,1,攻撃,2,,,,,,,,,,,,,,,,,,,,,
アロイＳグリーヴ,0,4,2,0,0,,32,52,-1,0,-1,-1,0,砥石使用高速化,1,見切り,1,,,,,,,,,,,,,,,,,,,,,
ボーンＳグリーヴ,0,4,2,0,0,,32,52,0,0,0,-1,0,泥雪耐性,2,集中,1,,,,,,,,,,,,,,,,,,,,,
スカルダＳガンバ,1,4,1,0,0,,32,52,3,-1,-1,-1,3,力の解放,1,毒耐性,1,心眼,1,,,,,,,,,,,,,,,,,,,
スパイオＳガンバ,2,4,1,0,0,,32,,3,-1,-1,-1,3,力の解放,1,毒耐性,1,心眼,1,,,,,,,,,,,,,,,,,,,
ブナハＳブーツ,0,4,2,1,0,,34,54,-2,0,0,0,2,麻痺属性強化,1,反動軽減,1,,,,,,,,,,,,,,,,,,,,,
イズチＳグリーヴ,0,4,1,1,0,,36,56,2,-1,-2,0,0,回復速度,1,体術,1,,,,,,,,,,,,,,,,,,,,,
バギィＳグリーヴ,0,4,2,1,0,,36,56,-4,-1,-1,2,1,攻撃,1,,,,,,,,,,,,,,,,,,,,,,,
クルルＳグリーヴ,0,4,1,0,0,,38,58,0,-3,0,1,0,気絶耐性,1,見切り,2,,,,,,,,,,,,,,,,,,,,,
フロギィＳグリーヴ,0,4,1,1,0,,38,58,2,-2,1,-4,0,装填拡張,1,回避距離ＵＰ,1,,,,,,,,,,,,,,,,,,,,,
アシラＳグリーヴ,0,4,3,2,1,,36,56,-2,0,-2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
ウルクＳグリーヴ,0,4,1,1,0,,36,56,-3,1,0,3,0,ジャンプ鉄人,1,見切り,1,,,,,,,,,,,,,,,,,,,,,
アケノＳグリーヴ,0,4,1,0,0,,38,58,3,-3,-1,0,0,フルチャージ,1,火属性攻撃強化,2,,,,,,,,,,,,,,,,,,,,,
フルフルＳグリーヴ,0,4,1,1,0,,38,58,-4,1,4,2,1,集中,1,ＫＯ術,1,回復速度,1,,,,,,,,,,,,,,,,,,,
ヨツミＳグリーヴ,0,4,1,0,0,,40,60,-1,4,-2,1,0,通常弾・連射矢強化,1,腹減り耐性,1,,,,,,,,,,,,,,,,,,,,,
インゴットＳグリーヴ,0,4,1,0,0,,40,58,-1,-1,1,0,0,攻撃,2,見切り,2,,,,,,,,,,,,,,,,,,,,,
エーデルＳライース,0,4,3,1,0,,40,58,-1,3,-1,0,0,毒耐性,1,,,,,,,,,,,,,,,,,,,,,,,
リノプロＳグリーヴ,0,4,1,1,0,,42,60,2,0,0,-2,0,貫通弾・貫通矢強化,1,耐震,1,,,,,,,,,,,,,,,,,,,,,
ドロスＳグリーヴ,0,4,2,0,0,,42,60,-2,4,-1,0,0,水属性攻撃強化,3,,,,,,,,,,,,,,,,,,,,,,,
狗竜の革臑当Ｓ,0,4,2,1,0,,42,60,0,0,0,1,0,乗り名人,1,,,,,,,,,,,,,,,,,,,,,,,
ラングロＳグリーヴ,0,4,1,1,0,,50,68,2,-3,0,-1,1,高速変形,1,回避距離ＵＰ,2,,,,,,,,,,,,,,,,,,,,,
ルドロスＳグリーヴ,0,4,3,0,0,,48,66,-3,4,-1,0,0,強化持続,2,,,,,,,,,,,,,,,,,,,,,,,
ボロスＳグリーヴ,0,4,2,1,0,,50,68,-3,-1,3,-1,0,ガード性能,1,防御,1,攻めの守勢,1,,,,,,,,,,,,,,,,,,,
テンゴＳグリーヴ,0,5,2,1,1,,52,70,-2,2,2,-4,2,渾身,1,,,,,,,,,,,,,,,,,,,,,,,
プケプケＳグリーヴ,0,5,1,1,1,,50,68,0,3,-3,0,1,体術,1,弾導強化,1,,,,,,,,,,,,,,,,,,,,,
ジュラグリーヴ,0,5,2,1,1,,48,66,-1,2,-3,0,0,ガード強化,2,,,,,,,,,,,,,,,,,,,,,,,
バサルＳグリーヴ,0,5,3,0,0,,52,70,0,-2,1,1,-3,砲弾装填,1,防御,1,,,,,,,,,,,,,,,,,,,,,
レイアＳグリーヴ,0,5,2,0,0,,52,70,3,0,-2,0,-3,属性やられ耐性,1,満足感,1,,,,,,,,,,,,,,,,,,,,,
クロムメタルブーツ,0,5,3,0,0,,46,54,-2,-2,-2,-2,-2,ひるみ軽減,2,,,,,,,,,,,,,,,,,,,,,,,
ドーベルグリーヴ,0,5,2,0,0,,52,60,-2,0,0,0,4,龍属性攻撃強化,1,集中,1,火事場力,1,,,,,,,,,,,,,,,,,,,
アルブーロＳサンダル,0,5,1,1,0,,52,60,0,-2,1,-1,0,散弾・拡散矢強化,1,貫通弾・貫通矢強化,1,,,,,,,,,,,,,,,,,,,,,
メルホアＳライース,0,5,1,1,0,,52,60,0,1,3,0,0,体力回復量ＵＰ,1,回復速度,2,,,,,,,,,,,,,,,,,,,,,
デスギアＳフェルゼ,0,5,1,1,0,,52,60,3,1,1,-1,0,剛刃研磨,1,高速変形,1,,,,,,,,,,,,,,,,,,,,,
マギュルＳライース,0,5,2,1,0,,52,60,-3,1,0,3,0,反動軽減,2,,,,,,,,,,,,,,,,,,,,,,,
ヴァイクＳグリーヴ,0,5,3,1,0,,52,60,0,3,-2,-1,0,装填拡張,1,,,,,,,,,,,,,,,,,,,,,,,
マカルパＳパンツ,0,5,1,1,0,,52,60,1,2,-2,0,0,泡沫の舞,1,早食い,1,,,,,,,,,,,,,,,,,,,,,
ウツシ表【脚絆】覇,1,5,1,0,0,,52,60,3,0,0,0,0,広域化,1,満足感,1,幸運,1,,,,,,,,,,,,,,,,,,,
ウツシ裏【脚絆】覇,1,5,1,1,0,,52,60,3,0,0,0,0,回避性能,1,挑戦者,1,,,,,,,,,,,,,,,,,,,,,
依巫・祈【緋袴】,2,5,1,0,0,,52,,3,0,0,0,0,広域化,1,満足感,1,幸運,1,,,,,,,,,,,,,,,,,,,
神凪・願【緋袴】,2,5,1,1,0,,52,,3,0,0,0,0,回避性能,1,挑戦者,1,,,,,,,,,,,,,,,,,,,,,
ガブラスーツＳフット,0,5,1,1,0,,52,60,1,1,1,1,3,弱点特効,1,,,,,,,,,,,,,,,,,,,,,,,
イソネＳグリーヴ,0,5,1,1,0,,58,66,-1,2,-3,0,1,精霊の加護,2,,,,,,,,,,,,,,,,,,,,,,,
ベリオＳグリーヴ,0,5,3,1,0,,58,66,-3,0,-1,3,0,納刀術,1,,,,,,,,,,,,,,,,,,,,,,,
カガチＳグリーヴ,0,5,2,1,0,,58,66,0,-3,3,0,0,体術,1,見切り,2,,,,,,,,,,,,,,,,,,,,,
ジャナフＳグリーヴ,0,6,2,0,0,,60,68,3,-3,-1,-1,0,ランナー,2,,,,,,,,,,,,,,,,,,,,,,,
ナルガＳグリーヴ,0,6,1,0,0,,60,68,-2,1,-3,1,1,回避性能,2,見切り,1,,,,,,,,,,,,,,,,,,,,,
ミツネＳグリーヴ,0,6,3,1,1,,60,68,0,2,-3,1,-1,泡沫の舞,1,,,,,,,,,,,,,,,,,,,,,,,
レウスＳグリーヴ,0,6,1,1,0,,62,70,3,1,-2,1,-3,攻撃,1,破壊王,1,,,,,,,,,,,,,,,,,,,,,
ジンオウＳグリーヴ,0,6,1,0,0,,62,70,0,-1,4,-4,1,力の解放,1,体術,2,,,,,,,,,,,,,,,,,,,,,
ロワーガＳガンバ,1,6,1,1,0,,62,68,-2,0,3,-2,2,見切り,2,龍属性攻撃強化,1,,,,,,,,,,,,,,,,,,,,,
ファルメルＳガンバ,2,6,2,0,0,,62,,-2,0,3,-2,2,見切り,2,龍属性攻撃強化,1,,,,,,,,,,,,,,,,,,,,,
メデュレトＳブーツ,0,6,3,1,0,,62,68,1,3,0,2,0,爆破属性強化,1,,,,,,,,,,,,,,,,,,,,,,,
禍鎧・覇【具足】,0,6,1,1,0,,64,70,3,-3,-2,1,1,鬼火纏,1,逆恨み,1,ひるみ軽減,1,,,,,,,,,,,,,,,,,,,
ゴシャＳグリーヴ,0,6,1,0,0,,64,70,-4,1,-1,4,0,抜刀術【力】,1,挑戦者,3,,,,,,,,,,,,,,,,,,,,,
オロミドＳグリーヴ,0,6,3,1,0,,64,70,-4,3,3,-2,-2,業物,1,,,,,,,,,,,,,,,,,,,,,,,
レックスＳグリーヴ,0,6,1,0,0,,64,70,2,0,-3,0,-2,早食い,2,心眼,1,,,,,,,,,,,,,,,,,,,,,
ディアブロＳグリーヴ,0,6,2,0,0,,64,70,3,-1,-1,-3,-1,ガード性能,1,攻めの守勢,1,,,,,,,,,,,,,,,,,,,,,
ヤツカダグリーヴ,0,6,1,0,0,,66,72,4,-2,-1,-3,1,体術,2,スタミナ急速回復,2,,,,,,,,,,,,,,,,,,,,,
金色ノ袴,0,7,1,1,0,,70,76,2,1,3,-5,2,超会心,2,力の解放,1,,,,,,,,,,,,,,,,,,,,,
しまきのおみあし,0,7,0,0,0,,66,74,-1,0,0,0,-2,風紋の一致,1,ＫＯ術,1,ガード強化,1,,,,,,,,,,,,,,,,,,,
なるかみのおみあし,0,7,0,0,0,,76,76,2,1,4,-3,-4,雷紋の一致,1,回避性能,1,ランナー,1,,,,,,,,,,,,,,,,,,,
